model,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
VFL-MTL,42,1,2.986998335132754,0.4173875361438689,2.0808550623374256,0.4887557330170298,94.1,0.06349206349206349,0.016666666666666666,0.0,0.5836751692763164
VFL-MTL,42,2,2.8110597366239967,0.4015047557470275,1.9515050339504956,0.4580499609796012,77.9,0.47619047619047616,0.029411764705882353,0.02696308666457925,0.5816249771199732
VFL-MTL,42,3,2.56481536617124,0.3910050195891683,1.718224447917163,0.45558589672654626,76.0,0.19047619047619047,0.019230769230769232,0.02696308666457925,0.6338986768541404
VFL-MTL,42,4,2.467448942060393,0.3899169903460557,1.6227374212528631,0.45479452900770234,75.9,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.635792874228463
VFL-MTL,42,5,2.4968070615597857,0.3882892320795757,1.6552678492011093,0.4532499747063086,75.7,0.2857142857142857,0.021739130434782608,0.010647705967667731,0.6529666717462733
VFL-MTL,42,6,2.5902485576102405,0.3841296628238709,1.752252256967188,0.4538666324886849,76.0,0.5396825396825398,0.03333333333333333,0.008447504791651905,0.6817166565212103
VFL-MTL,42,7,2.5332810549232048,0.3852440817811625,1.689199097757417,0.45883788132086034,76.0,0.39682539682539686,0.02564102564102564,0.02696308666457925,0.5992116973417748
VFL-MTL,42,8,2.4384819317639357,0.37971464574821595,1.603843245079847,0.45492401476798017,75.7,0.3650793650793651,0.024390243902439025,0.02696308666457925,0.6353163375265268
VFL-MTL,42,9,2.4265868896391334,0.382545178862122,1.5922743023895636,0.4517673891249711,75.7,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.6250568039011162
VFL-MTL,42,10,2.419222457622125,0.38028742651629255,1.5878954544299986,0.45103957788731025,75.8,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6727148504666648
VFL-MTL,123,1,2.9742398339558425,0.4106712430957856,2.0793089556500193,0.48425962551822505,76.0,0.19047619047619047,0.019230769230769232,0.0,0.5314364856054467
VFL-MTL,123,2,2.8835089264846427,0.3969720758315993,2.028550135410898,0.4579866986449172,75.9,0.04761904761904767,0.01639344262295082,0.013281785870175256,0.5798466459758295
VFL-MTL,123,3,2.646055537510694,0.39682793399182764,1.792633590659475,0.4565940087403708,75.8,0.1428571428571429,0.01818181818181818,0.06368510527004057,0.5752672957644199
VFL-MTL,123,4,2.564694637205543,0.39203842456747845,1.717781932373357,0.45487427154207616,76.0,0.15873015873015872,0.018518518518518517,0.008447504791651905,0.5981177217118654
VFL-MTL,123,5,2.5275232346077274,0.38761640612672016,1.6847862421981687,0.45512058628283864,76.0,0.12698412698412698,0.017857142857142856,0.02696308666457925,0.6656078088679178
VFL-MTL,123,6,2.4442834912276847,0.3866853665530197,1.605402125575678,0.4521959978875106,76.0,0.38095238095238093,0.025,0.02696308666457925,0.66958497020711
VFL-MTL,123,7,2.466570906522797,0.3875644947212886,1.6260986085829696,0.45290779946296195,75.9,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.6832014109017
VFL-MTL,123,8,2.4204256534576416,0.3804416683146624,1.5869307711841614,0.45305321928931447,76.1,0.7777777777777778,0.06666666666666667,0.02696308666457925,0.6324291417703012
VFL-MTL,123,9,2.4865627482654604,0.3816219951079144,1.6527146420827725,0.4522261384541426,75.9,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.643459181050985
VFL-MTL,123,10,2.4233595956631793,0.3835198575161337,1.5889473601085384,0.45089238058260783,76.0,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.6280242405950088
VFL-MTL,7,1,2.9709877618929235,0.41095929950233395,2.077752097835386,0.4822763643129085,76.3,0.4444444444444444,0.027777777777777776,0.0,0.5296313943858084
VFL-MTL,7,2,2.906879671220857,0.3967675848947308,2.052450404903753,0.4576616701556415,76.1,0.31746031746031744,0.022727272727272728,0.014517265680056402,0.5779889516567085
VFL-MTL,7,3,2.8282512591137148,0.3922626523952174,1.9789412389925825,0.4570473774177272,76.1,0.3650793650793651,0.024390243902439025,0.010647705967667731,0.5880458174499567
VFL-MTL,7,4,2.9157158843870086,0.3920026313725526,2.0686367692016976,0.4550764858722687,76.2,0.2857142857142857,0.021739130434782608,0.008447504791651905,0.6406932797316598
VFL-MTL,7,5,2.8570049448711115,0.38619357565554174,2.017020302090218,0.45379107827093546,76.1,0.6031746031746033,0.038461538461538464,0.008447504791651905,0.6720140359380512
VFL-MTL,7,6,2.871518460715689,0.3870068409336292,2.0315647939356363,0.4529468206370749,76.1,0.23809523809523814,0.02040816326530612,0.027636026244283962,0.675155605036348
VFL-MTL,7,7,2.639287789662679,0.38383046943482346,1.801243731646034,0.45421358749149293,76.1,0.6031746031746033,0.038461538461538464,0.02696308666457925,0.6562214778306504
VFL-MTL,7,8,2.54522463558166,0.38265519013734367,1.7111278559134258,0.45144160418975643,76.0,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6553461316124993
