task,accuracy,auroc,epsilon_level,mode,seed
ihm,0.53125,0.5728744939271255,inf,uniform,42
pheno,0.0,0.5070934600311172,inf,uniform,42
ihm,0.484375,0.470703125,inf,uniform,123
pheno,0.0,0.4775596714072958,inf,uniform,123
ihm,0.40625,0.4643206256109482,inf,uniform,7
pheno,0.0,0.5173274918897094,inf,uniform,7
ihm,0.453125,0.4725490196078431,inf,uniform,17
pheno,0.0,0.514484029393718,inf,uniform,17
ihm,0.484375,0.484375,inf,uniform,99
pheno,0.0,0.5344406604071615,inf,uniform,99
ihm,0.5625,0.5789473684210527,10.0,uniform,42
pheno,0.0,0.5063082041623232,10.0,uniform,42
ihm,0.484375,0.47265625,10.0,uniform,123
pheno,0.0,0.4775774341689366,10.0,uniform,123
ihm,0.4375,0.4594330400782014,10.0,uniform,7
pheno,0.0,0.5191700090314892,10.0,uniform,7
ihm,0.515625,0.4980392156862745,10.0,uniform,17
pheno,0.0,0.510189459833562,10.0,uniform,17
ihm,0.484375,0.4760416666666667,10.0,uniform,99
pheno,0.0,0.5327465032724255,10.0,uniform,99
ihm,0.5625,0.5789473684210527,5.0,uniform,42
pheno,0.0,0.5063557720982632,5.0,uniform,42
ihm,0.484375,0.4716796875,5.0,uniform,123
pheno,0.0,0.47753647291640033,5.0,uniform,123
ihm,0.4375,0.4594330400782014,5.0,uniform,7
pheno,0.0,0.5191690314914491,5.0,uniform,7
ihm,0.515625,0.4980392156862745,5.0,uniform,17
pheno,0.0,0.5104296440043963,5.0,uniform,17
ihm,0.46875,0.47500000000000003,5.0,uniform,99
pheno,0.0,0.5333595404519896,5.0,uniform,99
ihm,0.5625,0.5789473684210527,2.0,uniform,42
pheno,0.0,0.5062664481886787,2.0,uniform,42
ihm,0.484375,0.4716796875,2.0,uniform,123
pheno,0.0,0.47748837347439976,2.0,uniform,123
ihm,0.4375,0.4594330400782014,2.0,uniform,7
pheno,0.0,0.5190851544430375,2.0,uniform,7
ihm,0.515625,0.4980392156862745,2.0,uniform,17
pheno,0.0,0.5104271010578585,2.0,uniform,17
ihm,0.484375,0.4760416666666667,2.0,uniform,99
pheno,0.0,0.5327883742480823,2.0,uniform,99
ihm,0.5625,0.5789473684210527,1.0,uniform,42
pheno,0.0,0.5061471061771166,1.0,uniform,42
ihm,0.484375,0.4716796875,1.0,uniform,123
pheno,0.0,0.4773792201356449,1.0,uniform,123
ihm,0.4375,0.4594330400782014,1.0,uniform,7
pheno,0.0,0.519164410169352,1.0,uniform,7
ihm,0.515625,0.4980392156862745,1.0,uniform,17
pheno,0.0,0.5103114597936745,1.0,uniform,17
ihm,0.46875,0.47395833333333337,1.0,uniform,99
pheno,0.0,0.5332804145352664,1.0,uniform,99
ihm,0.5625,0.5789473684210527,0.5,uniform,42
pheno,0.0,0.5062669150420867,0.5,uniform,42
ihm,0.484375,0.47265625,0.5,uniform,123
pheno,0.0,0.4773355014232088,0.5,uniform,123
ihm,0.4375,0.4594330400782014,0.5,uniform,7
pheno,0.0,0.5190050743629573,0.5,uniform,7
ihm,0.515625,0.4980392156862745,0.5,uniform,17
pheno,0.0,0.5103935110757257,0.5,uniform,17
ihm,0.46875,0.47395833333333337,0.5,uniform,99
pheno,0.0,0.5332804145352664,0.5,uniform,99
ihm,0.5625,0.5789473684210527,5.0,stratified,42
pheno,0.0,0.5061471061771166,5.0,stratified,42
ihm,0.484375,0.4716796875,5.0,stratified,123
pheno,0.0,0.4776160679997905,5.0,stratified,123
ihm,0.4375,0.4594330400782014,5.0,stratified,7
pheno,0.0,0.5190086781505684,5.0,stratified,7
ihm,0.515625,0.4980392156862745,5.0,stratified,17
pheno,0.0,0.5103114597936745,5.0,stratified,17
ihm,0.484375,0.4760416666666667,5.0,stratified,99
pheno,0.0,0.5326669167582039,5.0,stratified,99
