component,term,eta_sq,p,gate,partial_r
eta_priv,C(embed_dim_cat):C(eps_cat),0.005,0.0163,ok,
eta_priv,C(embed_dim_cat):C(task_count),0.0009,0.6592,ok,
eta_priv,C(eps_cat):C(task_count),0.0029,0.1207,ok,
eta_priv,C(embed_dim_cat):C(eps_cat):C(task_count),0.0014,0.8831,ok,
eta_comm,C(embed_dim_cat):C(eps_cat),0.2005,0.0,FAIL,
eta_comm,C(embed_dim_cat):C(task_count),0.002,0.9658,ok,
eta_comm,C(eps_cat):C(task_count),0.0212,0.4215,ok,
eta_comm,C(embed_dim_cat):C(eps_cat):C(task_count),0.0277,0.7819,ok,
delta_m,C(embed_dim_cat):C(eps_cat),0.0308,0.0,ok,
delta_m,C(embed_dim_cat):C(task_count),0.0127,0.0035,ok,
delta_m,C(eps_cat):C(task_count),0.2459,0.0,FAIL,
delta_m,C(embed_dim_cat):C(eps_cat):C(task_count),0.0193,0.0213,ok,
pcmu,C(embed_dim_cat):C(eps_cat),0.1225,0.0001,FAIL,
pcmu,C(embed_dim_cat):C(task_count),0.0006,0.998,ok,
pcmu,C(eps_cat):C(task_count),0.0044,0.9052,ok,
pcmu,C(embed_dim_cat):C(eps_cat):C(task_count),0.0252,0.6677,ok,
eta_priv_eta_comm,partial_r|task_count,,0.0683,ok,0.2049
delta_m_eta_priv,partial_r|task_count,,0.0,FAIL,-0.5319
delta_m_eta_comm,partial_r|task_count,,0.0,FAIL,-0.5057
