round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
1,42,5.0,uniform,0.5651342336668765,0.17847920909759463,0.5234674620078746,0.10717524887433938,0.542030117465795,1.193023746055869,1.193023746055869,1.193023746055869,1.0422872877537424,0.40913655813864747,1.360938732020199,0.4647071348527633,6.9,-0.040412481874227524,-0.06229908764362335,0.020600575953722,1.0832716226577759,0.8944922685623169,0.8908525705337524
2,42,5.0,uniform,0.507149438041258,0.1525839485273924,0.5348313039998042,0.12716209276594537,0.5442544281389989,1.2715847966484408,1.2715847966484408,1.2715847966484408,0.9182964893928262,0.3975586250879879,1.3612097106125678,0.4490787213806502,6.1,,,,1.129089593887329,0.8104143738746643,0.8095107078552246
3,42,5.0,uniform,0.6059899503850242,0.2083532611454873,0.4751902932607819,0.10115117473923729,0.5440280903172282,1.3388315005414246,1.3388315005414246,1.3388315005414246,0.8502344791025054,0.39734581978300254,1.3563869814164773,0.4492121938794981,6.1,,,,1.1523202657699585,0.7463109493255615,0.7504887580871582
4,42,5.0,uniform,0.5960169737197236,0.18892108995744164,0.49413393281964,0.10587855686055596,0.5319655529546452,1.400481547554555,1.400481547554555,1.400481547554555,0.8092779972667777,0.3932012975476194,1.3539768106031627,0.44866023417643586,6.1,,,,1.1604321002960205,0.698473334312439,0.711330771446228
5,42,5.0,uniform,0.6290480855416829,0.2372159408642287,0.5293377869034808,0.11600325113825108,0.5422372945425487,1.459444305003426,1.459444305003426,1.459444305003426,0.7967183109714475,0.3919421889896476,1.3598004556118661,0.4519054855842257,6.1,,,,1.1654887199401855,0.6659805178642273,0.689631462097168
6,42,5.0,uniform,0.6518146619084273,0.26521994637477636,0.5114298365782446,0.12004459707613571,0.547721921043595,1.515988477467639,1.515988477467639,1.515988477467639,0.7722156602222326,0.38583588593651635,1.339109207344888,0.44879893834934487,6.1,-0.047529470175504684,0.2030283808708191,-0.01965910568833351,1.1591140031814575,0.6429503560066223,0.6774336695671082
7,42,5.0,uniform,0.6514314703559684,0.27673415444760385,0.5217681014102618,0.11066095442562693,0.5411608360600134,1.5708214959267983,1.5708214959267983,1.5708214959267983,0.7745350903819221,0.3859136796934636,1.351556556974436,0.4486950414670086,6.1,,,,1.1627230644226074,0.6310015916824341,0.6720186471939087
8,42,5.0,uniform,0.6712349763920683,0.2772018892487925,0.47956669231940097,0.09863192699502268,0.5450178315418144,1.6244901697491207,1.6244901697491207,1.6244901697491207,0.7647195103126843,0.3808297227303534,1.3452385848786632,0.4482551378454183,6.1,,,,1.1629546880722046,0.6236488819122314,0.670132040977478
9,42,5.0,uniform,0.6775967891880005,0.2878664088718269,0.4852560643170465,0.09793605165912728,0.5431157229741459,1.677179403980337,1.677179403980337,1.677179403980337,0.7644368034002562,0.37700305840073717,1.3586309781241104,0.44821995626891026,6.1,,,,1.1628304719924927,0.6180419325828552,0.6700206995010376
10,42,5.0,uniform,0.6864010316183013,0.2966064345171442,0.47101932896278864,0.09583505321370792,0.5405925772222805,1.7286316524397596,1.7286316524397596,1.7286316524397596,0.7598173821336838,0.3789393750861222,1.339608112276902,0.4482094903179652,6.1,,,,1.157956838607788,0.6167575716972351,0.669604480266571
